Geography,Geographic Area Name,Estimate!!Total!!Total population,Margin of Error!!Total!!Total population,Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years),Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years)
1400000US06001400100,Census Tract 4001; Alameda County; California,3269,452,50.8,1.4
1400000US06037482600,Census Tract 4826; Los Angeles County; California,6377,961,48.9,3.6
1400000US06037482701,Census Tract 4827.01; Los Angeles County; California,3807,449,43.0,2.2
1400000US06037482702,Census Tract 4827.02; Los Angeles County; California,2462,339,45.4,6.8
1400000US06037482801,Census Tract 4828.01; Los Angeles County; California,4069,652,41.6,3.5
1400000US06037500100,Census Tract 5001; Los Angeles County; California,3601,454,42.8,6.5
1400000US06037500202,Census Tract 5002.02; Los Angeles County; California,4827,686,49.8,3.4
1400000US06037500203,Census Tract 5002.03; Los Angeles County; California,4178,502,42.6,6.4
1400000US06037500204,Census Tract 5002.04; Los Angeles County; California,2256,387,48.5,2.0
1400000US06037500300,Census Tract 5003; Los Angeles County; California,2870,337,52.7,2.1
1400000US06037500402,Census Tract 5004.02; Los Angeles County; California,4766,920,41.7,7.6
1400000US06037500403,Census Tract 5004.03; Los Angeles County; California,3497,440,47.2,6.6
1400000US06037500404,Census Tract 5004.04; Los Angeles County; California,4173,523,44.6,4.4
1400000US06037500500,Census Tract 5005; Los Angeles County; California,2891,403,37.4,4.0
1400000US06037500600,Census Tract 5006; Los Angeles County; California,5286,779,34.2,4.4
1400000US06037500700,Census Tract 5007; Los Angeles County; California,7177,783,38.2,3.5
1400000US06037500800,Census Tract 5008; Los Angeles County; California,5149,851,38.8,7.5
1400000US06037500900,Census Tract 5009; Los Angeles County; California,5625,659,39.7,2.8
1400000US06037501001,Census Tract 5010.01; Los Angeles County; California,3110,558,32.4,9.4
1400000US06037501002,Census Tract 5010.02; Los Angeles County; California,4469,511,41.1,3.4
1400000US06037501200,Census Tract 5012; Los Angeles County; California,5134,656,37.6,1.1
1400000US06037501301,Census Tract 5013.01; Los Angeles County; California,3067,586,41.0,5.1
1400000US06037501302,Census Tract 5013.02; Los Angeles County; California,4425,613,39.0,2.7
1400000US06037501400,Census Tract 5014; Los Angeles County; California,3093,483,35.5,3.1
1400000US06037501501,Census Tract 5015.01; Los Angeles County; California,2022,241,47.9,7.3
1400000US06037501503,Census Tract 5015.03; Los Angeles County; California,5517,779,33.0,2.4
1400000US06037501504,Census Tract 5015.04; Los Angeles County; California,3395,426,40.8,4.3
1400000US06037501600,Census Tract 5016; Los Angeles County; California,7041,711,33.6,6.7
1400000US06037501700,Census Tract 5017; Los Angeles County; California,3895,425,41.8,4.1
1400000US06037501802,Census Tract 5018.02; Los Angeles County; California,3360,413,38.9,2.0
1400000US06037501803,Census Tract 5018.03; Los Angeles County; California,4970,916,30.2,1.8
1400000US06037501804,Census Tract 5018.04; Los Angeles County; California,2266,265,36.2,2.2
1400000US06037501900,Census Tract 5019; Los Angeles County; California,4321,578,39.0,1.8
1400000US06037502003,Census Tract 5020.03; Los Angeles County; California,2633,320,34.2,3.7
1400000US06037502004,Census Tract 5020.04; Los Angeles County; California,4061,613,33.2,4.8
1400000US06037502005,Census Tract 5020.05; Los Angeles County; California,4480,808,37.3,2.7
1400000US06037502100,Census Tract 5021; Los Angeles County; California,4956,498,38.9,3.4
1400000US06037502200,Census Tract 5022; Los Angeles County; California,6994,822,37.1,3.5
1400000US06037502303,Census Tract 5023.03; Los Angeles County; California,8377,1262,35.7,4.2
1400000US06037502401,Census Tract 5024.01; Los Angeles County; California,5136,769,36.2,2.7
1400000US06037502402,Census Tract 5024.02; Los Angeles County; California,3494,323,42.2,2.1
1400000US06037502500,Census Tract 5025; Los Angeles County; California,4096,521,37.6,3.0
1400000US06037502602,Census Tract 5026.02; Los Angeles County; California,4178,497,32.4,2.9
1400000US06037502603,Census Tract 5026.03; Los Angeles County; California,3259,638,39.0,2.7
1400000US06037502604,Census Tract 5026.04; Los Angeles County; California,3907,612,43.3,7.9
1400000US06037502700,Census Tract 5027; Los Angeles County; California,7269,623,36.8,4.6
1400000US06037502801,Census Tract 5028.01; Los Angeles County; California,6452,592,38.3,2.6
1400000US06037502901,Census Tract 5029.01; Los Angeles County; California,5821,706,37.2,4.6
1400000US06037503000,Census Tract 5030; Los Angeles County; California,5836,769,31.7,1.5
1400000US06037503103,Census Tract 5031.03; Los Angeles County; California,5646,747,34.5,3.6
1400000US06037503104,Census Tract 5031.04; Los Angeles County; California,2493,587,34.3,4.7
1400000US06037503105,Census Tract 5031.05; Los Angeles County; California,3589,540,29.6,3.5
1400000US06037503106,Census Tract 5031.06; Los Angeles County; California,3755,528,36.0,3.9
1400000US06037503201,Census Tract 5032.01; Los Angeles County; California,3956,795,35.4,3.6
1400000US06037503202,Census Tract 5032.02; Los Angeles County; California,4529,762,36.9,6.2
1400000US06037503301,Census Tract 5033.01; Los Angeles County; California,3601,707,42.3,4.6
1400000US06037503302,Census Tract 5033.02; Los Angeles County; California,5889,588,31.2,3.2
1400000US06037503401,Census Tract 5034.01; Los Angeles County; California,7421,1186,39.9,4.3
1400000US06037503402,Census Tract 5034.02; Los Angeles County; California,3860,390,37.8,3.3
1400000US06037503501,Census Tract 5035.01; Los Angeles County; California,7151,1612,33.3,4.4
1400000US06037503502,Census Tract 5035.02; Los Angeles County; California,4234,576,34.9,2.3
1400000US06037503601,Census Tract 5036.01; Los Angeles County; California,4317,543,42.1,3.7
1400000US06037503602,Census Tract 5036.02; Los Angeles County; California,4110,338,43.5,3.1
1400000US06037503701,Census Tract 5037.01; Los Angeles County; California,4861,476,40.4,3.8
1400000US06037503702,Census Tract 5037.02; Los Angeles County; California,5387,593,38.5,2.2
1400000US06037503704,Census Tract 5037.04; Los Angeles County; California,4364,669,63.5,5.4
1400000US06037503705,Census Tract 5037.05; Los Angeles County; California,2671,460,47.8,8.3
1400000US06037503801,Census Tract 5038.01; Los Angeles County; California,3622,411,39.3,2.9
1400000US06037503802,Census Tract 5038.02; Los Angeles County; California,5277,623,40.7,3.0
1400000US06037503901,Census Tract 5039.01; Los Angeles County; California,2275,195,41.4,2.6
1400000US06037503902,Census Tract 5039.02; Los Angeles County; California,5367,685,38.3,3.1
1400000US06037504001,Census Tract 5040.01; Los Angeles County; California,5265,618,24.9,4.4
1400000US06037504002,Census Tract 5040.02; Los Angeles County; California,5457,620,35.3,5.6
1400000US06037504101,Census Tract 5041.01; Los Angeles County; California,4919,581,38.5,3.2
1400000US06037504200,Census Tract 5042; Los Angeles County; California,7427,633,37.7,3.9
1400000US06037530005,Census Tract 5300.05; Los Angeles County; California,3386,327,58.3,3.2
1400000US06037530006,Census Tract 5300.06; Los Angeles County; California,4913,648,35.8,4.7
1400000US06037530007,Census Tract 5300.07; Los Angeles County; California,6539,621,41.4,1.8
1400000US06037530101,Census Tract 5301.01; Los Angeles County; California,5452,594,42.2,3.7
1400000US06037530102,Census Tract 5301.02; Los Angeles County; California,4706,593,45.4,6.5
1400000US06037530202,Census Tract 5302.02; Los Angeles County; California,4176,485,43.7,3.0
1400000US06037530203,Census Tract 5302.03; Los Angeles County; California,2520,269,37.9,4.0
1400000US06037530204,Census Tract 5302.04; Los Angeles County; California,4044,745,36.9,5.7
1400000US06037530301,Census Tract 5303.01; Los Angeles County; California,2167,368,39.8,3.7
1400000US06037530302,Census Tract 5303.02; Los Angeles County; California,6424,787,34.2,3.6
1400000US06037530400,Census Tract 5304; Los Angeles County; California,3723,830,34.3,7.4
1400000US06037530500,Census Tract 5305; Los Angeles County; California,4103,555,35.3,3.4
1400000US06037530603,Census Tract 5306.03; Los Angeles County; California,4419,500,33.9,3.1
1400000US06037530700,Census Tract 5307; Los Angeles County; California,2152,420,38.7,4.5
1400000US06037530801,Census Tract 5308.01; Los Angeles County; California,5773,951,31.4,1.9
1400000US06037530802,Census Tract 5308.02; Los Angeles County; California,3190,343,33.9,3.0
1400000US06037530901,Census Tract 5309.01; Los Angeles County; California,3916,527,32.4,2.5
1400000US06037530902,Census Tract 5309.02; Los Angeles County; California,4058,703,37.7,7.0
1400000US06037531000,Census Tract 5310; Los Angeles County; California,5136,677,36.2,2.2
1400000US06037531101,Census Tract 5311.01; Los Angeles County; California,4833,928,31.1,1.8
1400000US06037531102,Census Tract 5311.02; Los Angeles County; California,2485,295,36.9,4.5
1400000US06037531201,Census Tract 5312.01; Los Angeles County; California,4118,695,35.8,4.9
1400000US06037531202,Census Tract 5312.02; Los Angeles County; California,4252,926,30.3,7.4
1400000US06037531301,Census Tract 5313.01; Los Angeles County; California,5360,992,31.6,4.1
1400000US06037531302,Census Tract 5313.02; Los Angeles County; California,5549,776,30.1,4.4
1400000US06037531502,Census Tract 5315.02; Los Angeles County; California,3085,499,30.1,3.2
1400000US06037531503,Census Tract 5315.03; Los Angeles County; California,2652,418,31.9,1.8
1400000US06037531504,Census Tract 5315.04; Los Angeles County; California,4097,616,30.7,4.1
1400000US06037531602,Census Tract 5316.02; Los Angeles County; California,3819,736,29.2,3.1
1400000US06037531603,Census Tract 5316.03; Los Angeles County; California,3665,524,31.5,1.6
1400000US06037531604,Census Tract 5316.04; Los Angeles County; California,3255,423,31.1,3.1
1400000US06037531701,Census Tract 5317.01; Los Angeles County; California,5692,835,36.0,5.6
1400000US06037531702,Census Tract 5317.02; Los Angeles County; California,4946,718,35.0,2.5
1400000US06037531800,Census Tract 5318; Los Angeles County; California,4780,859,30.8,5.6
1400000US06037531901,Census Tract 5319.01; Los Angeles County; California,6531,952,34.6,3.8
1400000US06037531902,Census Tract 5319.02; Los Angeles County; California,4217,613,38.5,4.2
1400000US06037532001,Census Tract 5320.01; Los Angeles County; California,3139,506,36.1,3.4
1400000US06037532002,Census Tract 5320.02; Los Angeles County; California,3414,405,34.7,4.5
1400000US06037532101,Census Tract 5321.01; Los Angeles County; California,7044,1185,29.5,3.8
1400000US06037532102,Census Tract 5321.02; Los Angeles County; California,3521,375,36.3,3.2
1400000US06037532200,Census Tract 5322; Los Angeles County; California,6983,814,30.6,4.0
1400000US06037532302,Census Tract 5323.02; Los Angeles County; California,4588,487,35.1,3.4
1400000US06037532303,Census Tract 5323.03; Los Angeles County; California,4399,534,37.9,8.2
1400000US06037532304,Census Tract 5323.04; Los Angeles County; California,4119,472,45.2,2.5
1400000US06037532500,Census Tract 5325; Los Angeles County; California,3833,510,32.4,3.7
1400000US06037532605,Census Tract 5326.05; Los Angeles County; California,4129,1150,33.5,2.4
1400000US06037532606,Census Tract 5326.06; Los Angeles County; California,3987,398,35.6,4.6
1400000US06037532607,Census Tract 5326.07; Los Angeles County; California,4943,523,33.8,2.8
1400000US06037532700,Census Tract 5327; Los Angeles County; California,3306,440,32.0,3.2
1400000US06037532800,Census Tract 5328; Los Angeles County; California,4392,618,28.2,3.0
1400000US06037532900,Census Tract 5329; Los Angeles County; California,6620,1022,30.3,1.9
1400000US06037533001,Census Tract 5330.01; Los Angeles County; California,4502,860,31.9,4.8
1400000US06037533002,Census Tract 5330.02; Los Angeles County; California,2403,457,32.9,1.9
1400000US06037533103,Census Tract 5331.03; Los Angeles County; California,3211,475,27.3,2.6
1400000US06037533104,Census Tract 5331.04; Los Angeles County; California,4451,795,35.1,1.7
1400000US06037533105,Census Tract 5331.05; Los Angeles County; California,2419,429,32.8,5.7
1400000US06037533108,Census Tract 5331.08; Los Angeles County; California,4751,477,34.2,4.0
1400000US06037533201,Census Tract 5332.01; Los Angeles County; California,2421,407,35.9,2.8
1400000US06037533204,Census Tract 5332.04; Los Angeles County; California,4451,541,32.2,4.0
1400000US06037533300,Census Tract 5333; Los Angeles County; California,2993,448,28.6,2.2
1400000US06037533401,Census Tract 5334.01; Los Angeles County; California,4923,684,32.6,2.8
1400000US06037533402,Census Tract 5334.02; Los Angeles County; California,3770,471,29.8,4.2
1400000US06037533403,Census Tract 5334.03; Los Angeles County; California,2505,362,39.1,7.1
1400000US06037533501,Census Tract 5335.01; Los Angeles County; California,2852,427,33.4,3.0
1400000US06037533504,Census Tract 5335.04; Los Angeles County; California,4045,499,33.8,2.4
1400000US06037533601,Census Tract 5336.01; Los Angeles County; California,4279,832,30.1,4.3
1400000US06037533602,Census Tract 5336.02; Los Angeles County; California,4932,665,29.2,2.6
1400000US06037533603,Census Tract 5336.03; Los Angeles County; California,6407,683,31.6,3.3
1400000US06037533701,Census Tract 5337.01; Los Angeles County; California,3009,528,37.1,4.7
1400000US06037533702,Census Tract 5337.02; Los Angeles County; California,3568,463,31.8,2.0
1400000US06037533703,Census Tract 5337.03; Los Angeles County; California,4241,708,28.2,5.4
1400000US06037533803,Census Tract 5338.03; Los Angeles County; California,5775,753,35.1,4.2
1400000US06037533804,Census Tract 5338.04; Los Angeles County; California,3524,459,38.5,4.7
1400000US06037533805,Census Tract 5338.05; Los Angeles County; California,3816,600,34.8,2.5
1400000US06037533806,Census Tract 5338.06; Los Angeles County; California,3791,704,32.3,7.1
1400000US06037533901,Census Tract 5339.01; Los Angeles County; California,5083,496,30.0,2.3
1400000US06037533902,Census Tract 5339.02; Los Angeles County; California,4454,905,30.2,1.8
1400000US06037534001,Census Tract 5340.01; Los Angeles County; California,5142,676,33.6,4.5
1400000US06037534002,Census Tract 5340.02; Los Angeles County; California,4064,528,32.1,3.7
1400000US06037534101,Census Tract 5341.01; Los Angeles County; California,1931,419,33.6,1.8
1400000US06037534102,Census Tract 5341.02; Los Angeles County; California,5912,921,32.0,3.5
1400000US06037534201,Census Tract 5342.01; Los Angeles County; California,4169,843,30.2,5.1
1400000US06037534202,Census Tract 5342.02; Los Angeles County; California,5258,638,30.9,4.8
1400000US06037534203,Census Tract 5342.03; Los Angeles County; California,3250,529,30.7,1.3
1400000US06037534301,Census Tract 5343.01; Los Angeles County; California,4104,573,27.1,4.6
1400000US06037534302,Census Tract 5343.02; Los Angeles County; California,3861,498,30.9,3.6
1400000US06037534403,Census Tract 5344.03; Los Angeles County; California,3100,564,34.0,5.9
1400000US06037534404,Census Tract 5344.04; Los Angeles County; California,3244,385,33.7,3.6
1400000US06037534405,Census Tract 5344.05; Los Angeles County; California,4000,571,32.3,3.7
